Onde,LuxForestShade
300,0
301,0
302,0
303,0
304,0
305,0.000673471
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0.002147078
315,0.003597067
316,0.006616096
317,0.006712288
318,0.007328531
319,0.005722572
320,0.005232509
321,0.005723183
322,0.007425197
323,0.007938763
324,0.010798124
325,0.015335979
326,0.023095134
327,0.024717024
328,0.026615955
329,0.027784439
330,0.028463391
331,0.026572241
332,0.026629961
333,0.02616197
334,0.025892604
335,0.028254502
336,0.032952775
337,0.03327023
338,0.03177375
339,0.033719216
340,0.036126578
341,0.035752282
342,0.036251111
343,0.047129198
344,0.047224874
345,0.048818146
346,0.052314297
347,0.05208118
348,0.047659962
349,0.047927207
350,0.04847114
351,0.050342787
352,0.054323714
353,0.053368304
354,0.049337369
355,0.048327008
356,0.044752388
357,0.038680813
358,0.03842542
359,0.041358692
360,0.042861862
361,0.043760106
362,0.045885816
363,0.049067451
364,0.046762759
365,0.04974577
366,0.052437915
367,0.054083398
368,0.056936493
369,0.05865075
370,0.064744941
371,0.065006207
372,0.064619948
373,0.063619006
374,0.063784859
375,0.068355451
376,0.069295933
377,0.069773451
378,0.070648917
379,0.071996738
380,0.069573006
381,0.064658978
382,0.0636995
383,0.064104709
384,0.062727225
385,0.061549204
386,0.061046259
387,0.060916948
388,0.062604475
389,0.064682209
390,0.06768888
391,0.069915339
392,0.071565462
393,0.070564558
394,0.069992524
395,0.069187022
396,0.073997357
397,0.078177796
398,0.085088661
399,0.092511514
400,0.100285657
401,0.104867831
402,0.109450688
403,0.111708635
404,0.115668364
405,0.117020615
406,0.116171619
407,0.114962835
408,0.112636643
409,0.116538477
410,0.118911797
411,0.1206325
412,0.121507685
413,0.123765017
414,0.123499327
415,0.119354607
416,0.117191962
417,0.115315586
418,0.117475822
419,0.117724046
420,0.117978604
421,0.117170833
422,0.116857956
423,0.116324734
424,0.113468612
425,0.110706573
426,0.108640892
427,0.110136553
428,0.108560069
429,0.108572732
430,0.108048009
431,0.108388522
432,0.108204557
433,0.106627051
434,0.108692601
435,0.112007102
436,0.114727909
437,0.116762226
438,0.118270625
439,0.119445964
440,0.120206399
441,0.121157751
442,0.123612364
443,0.124975528
444,0.126651688
445,0.128111909
446,0.129587859
447,0.130349732
448,0.131505233
449,0.132138694
450,0.13177905
451,0.132573995
452,0.132884803
453,0.132864561
454,0.131854667
455,0.134452212
456,0.136865821
457,0.136673269
458,0.134702932
459,0.134773348
460,0.135243076
461,0.132908226
462,0.130537531
463,0.13080042
464,0.130906941
465,0.130213066
466,0.129200155
467,0.128869486
468,0.128058717
469,0.127537053
470,0.127912894
471,0.127941255
472,0.128010706
473,0.128149661
474,0.127758506
475,0.128143295
476,0.127373423
477,0.128052891
478,0.128611163
479,0.128976727
480,0.128904972
481,0.128503452
482,0.127968194
483,0.126563901
484,0.124864762
485,0.1241317
486,0.122889719
487,0.122388176
488,0.122218699
489,0.122753764
490,0.123989408
491,0.125740282
492,0.126896481
493,0.127902152
494,0.128400317
495,0.12873852
496,0.128465
497,0.128388541
498,0.128158273
499,0.128116875
500,0.128498859
501,0.128546353
502,0.128977869
503,0.129211096
504,0.130808729
505,0.132220261
506,0.13422418
507,0.136588107
508,0.138681266
509,0.140855678
510,0.142433235
511,0.14448033
512,0.145890987
513,0.146909831
514,0.148272071
515,0.14974451
516,0.151316604
517,0.153115179
518,0.156140478
519,0.160146005
520,0.164765116
521,0.169219862
522,0.173737318
523,0.179432583
524,0.184135134
525,0.188467145
526,0.191803431
527,0.195324333
528,0.198797718
529,0.201808764
530,0.20567242
531,0.209111919
532,0.212440102
533,0.215453169
534,0.21768833
535,0.218395561
536,0.218854593
537,0.21963499
538,0.219160312
539,0.219103229
540,0.219699945
541,0.220028842
542,0.22039778
543,0.221211667
544,0.222455018
545,0.223452259
546,0.22347043
547,0.224572246
548,0.226221262
549,0.227450491
550,0.228294833
551,0.228689669
552,0.229011295
553,0.228956193
554,0.228310056
555,0.227551181
556,0.226843281
557,0.225395637
558,0.224054753
559,0.222007228
560,0.220335142
561,0.218714017
562,0.217191052
563,0.215659043
564,0.213544438
565,0.210940566
566,0.20809997
567,0.205410939
568,0.2022307
569,0.198850984
570,0.195993169
571,0.193089997
572,0.190527945
573,0.188059836
574,0.185987944
575,0.184156342
576,0.182630239
577,0.1810859
578,0.180192218
579,0.178611916
580,0.176828371
581,0.17585574
582,0.17515211
583,0.174696344
584,0.17183855
585,0.16957725
586,0.166756371
587,0.162625266
588,0.157869172
589,0.154253525
590,0.151581475
591,0.150551595
592,0.150445098
593,0.150303566
594,0.150329072
595,0.150911426
596,0.152379908
597,0.152794588
598,0.152333985
599,0.152701838
600,0.153041994
601,0.152654509
602,0.151909302
603,0.152727051
604,0.15271119
605,0.152558355
606,0.152512966
607,0.151955933
608,0.150885637
609,0.149232765
610,0.147728124
611,0.14629659
612,0.143599877
613,0.142385016
614,0.141473076
615,0.140284613
616,0.138602807
617,0.137852963
618,0.137758519
619,0.137039322
620,0.136508425
621,0.135704008
622,0.134905951
623,0.134062398
624,0.132422327
625,0.131552688
626,0.131933205
627,0.13116941
628,0.130461269
629,0.129274341
630,0.128865954
631,0.127819501
632,0.128477193
633,0.128346908
634,0.12802814
635,0.127570793
636,0.12783411
637,0.126757202
638,0.125385489
639,0.124357265
640,0.123629514
641,0.121615035
642,0.118996968
643,0.116706998
644,0.114492793
645,0.112531747
646,0.1102011
647,0.108975228
648,0.107564163
649,0.106751316
650,0.105836887
651,0.104660981
652,0.103340646
653,0.102440329
654,0.101408425
655,0.100915921
656,0.100548869
657,0.100240449
658,0.100725411
659,0.101068018
660,0.101804754
661,0.102610774
662,0.102712444
663,0.102322303
664,0.101941234
665,0.101352722
666,0.100772631
667,0.099879038
668,0.099302699
669,0.099172163
670,0.098516303
671,0.097909058
672,0.098136923
673,0.098609548
674,0.098752564
675,0.09838
676,0.098216256
677,0.098144795
678,0.096701644
679,0.096800373
680,0.097223529
681,0.097308443
682,0.097660485
683,0.097070814
684,0.095739725
685,0.094902169
686,0.094176192
687,0.094035091
688,0.095831132
689,0.099231115
690,0.103445858
691,0.108240432
692,0.114398423
693,0.121879086
694,0.129880738
695,0.138968667
696,0.149270712
697,0.159893156
698,0.170989884
699,0.18286643
700,0.195798398
