wl,u,s,m,l,dc
300,0.001443723,0,0,0,0
301,0.001981791,0,0,0,0
302,0.002853098,0,0,0,0
303,0.004102866,0,0,0,0
304,0.005967862,0,0,0,0
305,0.00826236,0,0,0,0
306,0.01102573,0,0,0,0
307,0.014121461,0,0,0,0
308,0.017533702,0,0,0,0
309,0.021350742,0,0,0,0
310,0.025589139,0,0,0,0
311,0.030277283,0,0,0,0
312,0.03513466,0,0,0,0
313,0.040053119,0,0,0,0
314,0.044854279,0,0,0,0
315,0.049599377,0,0,0,0
316,0.054371063,0,0,0,0
317,0.059104627,0,0,0,0
318,0.063923141,0,0,0,0
319,0.068653036,0,0,0,0
320,0.073246615,0,0,0,0
321,0.077635939,0,0,0,0
322,0.081960324,0,0,0,0
323,0.08640528,0,0,0,0
324,0.091061163,0,0,0,0
325,0.096116096,0,0,0,0
326,0.101334241,0,0,0,0
327,0.106708029,0,0,0,0
328,0.11229184,0,0,0,0
329,0.118033877,0,0,0,0
330,0.124117669,0,0,0,0
331,0.130575082,0,0,0,0
332,0.137410234,0,0,0,0
333,0.144610137,0,0,0,0
334,0.151942939,0,0,0,0
335,0.159371659,0,0,0,0
336,0.166826125,0,0,0,0
337,0.174280404,0,0,0,0
338,0.18179057,0,0,0,0
339,0.189397951,0,0,0,0
340,0.19707294,0,0,0,0
341,0.204779513,0,0,0,0
342,0.212425249,0,0,0,0
343,0.220080451,0,0,0,0
344,0.227634732,0,0,0,0
345,0.235192035,0,0,0,0
346,0.242745197,0,0,0,0
347,0.250122748,0,0,0,0
348,0.257474329,0,0,0,0
349,0.264734472,0,0,0,0
350,0.271964904,0,0,0,0
351,0.279172064,0,0,0,0
352,0.286391798,0,0,0,0
353,0.293591474,0,0,0,0
354,0.30074138,0,0,0,0
355,0.307916645,0,0,0,0
356,0.31507945,0,0,0,0
357,0.322363069,0,0,0,0
358,0.329844796,0,0,0,0
359,0.33754022,0,0,0,0
360,0.345535967,0,0,0,0
361,0.353693962,0,0,0,0
362,0.361946222,0,0,0,0
363,0.370306453,0,0,0,0
364,0.378870259,0,0,0,0
365,0.387592092,0,0,0,0
366,0.396437725,0,0,0,0
367,0.405334374,0,0,0,0
368,0.414065508,0,0,0,0
369,0.422664152,0,0,0,0
370,0.431110439,0,0,0,0
371,0.439406183,0,0,0,0
372,0.447626345,0,0,0,0
373,0.455795816,0,0,0,0
374,0.463908292,0,0,0,0
375,0.471954524,0,0,0,0
376,0.479958565,0,0,0,0
377,0.487960269,0,0,0,0
378,0.495995956,0,0,0,0
379,0.50402607,0,0,0,0
380,0.512110833,0,0,0,0
381,0.520198758,0,0,0,0
382,0.528209185,0,0,0,0
383,0.536127944,0,0,0,0
384,0.543828019,0,0,0,0
385,0.551316506,0,0,0,0
386,0.558656548,0,0,0,0.000001
387,0.56574997,0,0,0,0.000001
388,0.572589344,0,0,0,0.000002
389,0.579161531,0,0,0,0.000004
390,0.585432229,0,0,0,0.000008
391,0.591449234,0,0,0,0.000013
392,0.597082572,0,0,0,0.000023
393,0.602390863,0,0,0,0.000038
394,0.607370196,0,0,0,0.00006
395,0.611964461,0,0,0,0.000094
396,0.616234025,0,0,0,0.000144
397,0.620150009,0,0,0,0.000214
398,0.623672732,0,0,0,0.000312
399,0.626890315,0,0,0,0.000444
400,0.629794757,0,0,0,0.00062
401,0.632281075,0,0,0,0.00085
402,0.634341791,0,0,0,0.001145
403,0.636063429,0,0,0,0.001516
404,0.63736121,0,0,0,0.001975
405,0.638231094,0,0,0,0.002536
406,0.638809665,0,0,0,0.003209
407,0.638887168,0,0,0,0.004008
408,0.638447316,0,0,0,0.004941
409,0.637524352,0,0,0,0.006019
410,0.635937265,0,0,0,0.007249
411,0.633785116,0,0,0,0.008637
412,0.631233898,0,0,0,0.010188
413,0.628226544,0,0,0,0.011902
414,0.624877758,0,0,0,0.01378
415,0.62122405,0,0,0,0.015818
416,0.617266738,0,0,0,0.018013
417,0.613041357,0,0,0,0.020358
418,0.608617094,0,0,0,0.022844
419,0.603951974,0,0,0,0.025463
420,0.599000759,0,0,0,0.028203
421,0.593752651,0,0,0,0.031054
422,0.588111551,0,0,0,0.034003
423,0.581957591,0,0,0,0.037039
424,0.575248528,0,0,0,0.040149
425,0.567819521,0,0,0,0.043322
426,0.559705412,0,0,0,0.046548
427,0.550963753,0,0,0,0.049815
428,0.541649004,0,0,0,0.053114
429,0.531790158,0,0,0,0.056438
430,0.521324085,0,0,0,0.059778
431,0.510317326,0,0,0,0.063131
432,0.4987861,0,0,0,0.06649
433,0.48684496,0,0,0,0.069853
434,0.47459642,0,0,0,0.073218
435,0.462040923,0,0,0,0.076585
436,0.44925836,0,0,0,0.079953
437,0.436202451,0,0,0,0.083325
438,0.422874337,0,0,0,0.086704
439,0.409261661,0,0,0,0.090092
440,0.395408453,0,0,0,0.093494
441,0.381406245,0,0,0,0.096916
442,0.367265496,0,0,0,0.100363
443,0.353046909,0,0,0,0.103842
444,0.338730325,0.012651094,0,0,0.10736
445,0.32433407,0.04573345,0,0,0.110923
446,0.309911158,0.079050269,0,0,0.114539
447,0.295465813,0.112533715,0,0,0.118217
448,0.281094394,0.146138855,0,0,0.121963
449,0.266833022,0.179805612,0,0,0.125785
450,0.252704881,0.213455255,0,0,0.129692
451,0.238777693,0.247036618,0,0,0.133691
452,0.225088269,0.280475722,0,0,0.137789
453,0.211700139,0.31373185,0,0,0.141993
454,0.198685146,0.346801871,0,0,0.146311
455,0.186067129,0.379628379,0,0,0.15075
456,0.173884012,0.410966745,0,0,0.155316
457,0.162142779,0.442985857,0,0,0.160015
458,0.150875531,0.4757574,0,0,0.164852
459,0.140088144,0.507541862,0,0,0.169835
460,0.129780677,0.538291836,0,0,0.174967
461,0.119980906,0.568444725,0,0,0.180253
462,0.110684679,0.597884902,0,0,0.185697
463,0.101895424,0.625403504,0,0,0.191304
464,0.093613561,0.650397881,0,0,0.197076
465,0.085816366,0.672560218,0,0,0.203017
466,0.078509887,0.691620941,0,0,0.20913
467,0.071688663,0.707586105,0,0,0.215415
468,0.06534867,0.720650009,0,0,0.221876
469,0.059472119,0.73085421,0,0,0.228512
470,0.054039377,0.738100407,0,0,0.235326
471,0.049033645,0.741842394,0,0,0.242318
472,0.04442274,0.743707534,0,0,0.249487
473,0.04018018,0.743545966,0,0,0.256834
474,0.036285129,0.741636332,0,0,0.264357
475,0.032721629,0.737359721,0,0,0.272055
476,0.029480156,0.731366629,0,0,0.279928
477,0.026540794,0.723968464,0,0,0.287972
478,0.023882292,0.715831885,0,0,0.296186
479,0.021481915,0.706864942,0,0,0.304567
480,0.019317369,0.696976114,0,0,0.313112
481,0.017367884,0.686281384,0,0,0.321818
482,0.015613245,0.675431499,0,0,0.330682
483,0.014037201,0.66469039,0,0,0.339699
484,0.012624309,0.653550983,0,0,0.348864
485,0.011357838,0.642148865,0,0,0.358175
486,0.010220824,0.630161143,0,0,0.367625
487,0.009195791,0.617867708,0,0,0.377209
488,0.008268369,0.604999385,0,0,0.386923
489,0.00742801,0.59097231,0,0,0.396761
490,0.006667845,0.576057492,0,0,0.406717
491,0.00598145,0.560419288,0,0,0.416785
492,0.005362725,0.544786787,0,0,0.426958
493,0.004805602,0.528726553,0,0,0.437231
494,0.004303782,0.51210102,0,0,0.447597
495,0.003852646,0.494692148,0,0,0.458048
496,0.003447537,0.477196766,0,0,0.468579
497,0.003083896,0.459526457,0,0,0.479182
498,0.002758589,0.441810637,0,0,0.48985
499,0.002468735,0.424248759,0,0,0.500575
500,0.002210642,0.406846359,0,0,0.511352
501,0.001980575,0.38978675,0,0,0.522171
502,0.001775386,0.373227515,0.02438798,0,0.533026
503,0.001592225,0.357078486,0.050690795,0,0.543909
504,0.001428925,0.341209633,0.077003109,0,0.554812
505,0.001283242,0.325642986,0.103327052,0,0.565729
506,0.001152998,0.310255673,0.129640681,0,0.576651
507,0.001036335,0.29521098,0.150178414,0,0.587571
508,0.000931751,0.280514987,0.166940214,0,0.598482
509,0.000837787,0.266022808,0.185390558,0,0.609375
510,0.000753224,0.251835975,0.205489068,0,0.620244
511,0.000677236,0.23804739,0.227194732,0,0.631082
512,0.000609099,0.224697855,0.250077902,0,0.64188
513,0.000548069,0.211837905,0.274348691,0,0.652631
514,0.000493313,0.199424683,0.299461686,0,0.663329
515,0.000444023,0.187358185,0.325358806,0,0.673967
516,0.00039964,0.175694438,0.351838314,0,0.684536
517,0.000359664,0.164368705,0.378372565,0,0.695031
518,0.00032369,0.153528806,0.404809577,0,0.705445
519,0.00029134,0.143177838,0.43081562,0,0.71577
520,0.000262388,0.133368911,0.456522805,0,0.726001
521,0.0002365,0.124145543,0.48152137,0,0.736131
522,0.000213336,0.115430025,0.505602994,0,0.746153
523,0.000192534,0.107184756,0.528296041,0,0.756062
524,0.000173769,0.099428643,0.547485651,0,0.76585
525,0.000156881,0.092123282,0.565303954,0,0.775513
526,0.000141663,0.085202135,0.582254334,0,0.785044
527,0.000128004,0.078735801,0.598561533,0,0.794438
528,0.000115709,0.072682274,0.614072934,0,0.803688
529,0.000104636,0.06699958,0.628752794,0,0.81279
530,0.0000947,0.061723315,0.642762663,0,0.821738
531,0.0000857,0.056824745,0.656045955,0,0.830526
532,0.0000776,0.052246444,0.668330922,0,0.83915
533,0.0000703,0.047943934,0.679058192,0,0.847603
534,0.0000636,0.043937623,0.687045296,0,0.855882
535,0.0000576,0.040221866,0.69145015,0,0.86398
536,0.0000521,0.036799608,0.694786258,0,0.871894
537,0.0000473,0.033673331,0.697181272,0,0.879618
538,0.0000429,0.030813197,0.69827776,0,0.887147
539,0.0000389,0.028195825,0.698217779,0,0.894476
540,0.0000354,0.025789907,0.697429185,0,0.901602
541,0.0000322,0.023578115,0.695470727,0,0.908519
542,0.0000292,0.021538993,0.691961072,0,0.915222
543,0.0000266,0.019655259,0.686968218,0,0.921707
544,0.0000242,0.017935492,0.681159947,0,0.927969
545,0.000022,0.016358647,0.675337283,0,0.934004
546,0.00002,0.014914971,0.667783458,0,0.939807
547,0.0000182,0.013585539,0.658807701,0,0.945373
548,0.0000166,0.012367266,0.648356406,0,0.950699
549,0.0000151,0.011246224,0.636851105,0,0.955778
550,0.0000137,0.010222695,0.624866617,0,0.960607
551,0.0000125,0.009296605,0.612513787,0,0.965181
552,0.0000114,0.008455948,0.599380218,0,0.969496
553,0.0000104,0.007691235,0.58623241,0,0.973546
554,0.00000946,0.006992129,0.571859027,0,0.977327
555,0.00000862,0.006354863,0.557079868,0,0.980834
556,0.00000786,0.005775261,0.541934533,0,0.984063
557,0.00000716,0.005250748,0.52660628,0,0.987008
558,0.00000653,0.004773548,0.511053308,0,0.989666
559,0.00000596,0.00433792,0.495378067,0,0.992031
560,0.00000544,0.003943007,0.480021397,0.015498617,0.994099
561,0.00000497,0.00358276,0.46444,0.047629495,0.995865
562,0.00000454,0.003257028,0.448901857,0.079822266,0.997324
563,0.00000415,0.002962589,0.433518075,0.112072552,0.998471
564,0.0000038,0.002696023,0.418227361,0.144384317,0.999303
565,0.00000348,0.002454232,0.403076123,0.176774236,0.999814
566,0.00000319,0.002235479,0.388029646,0.209227571,1
567,0.00000292,0.002037065,0.373117251,0.240053205,0.999857
568,0.00000268,0.001856469,0.358428678,0.26374704,0.99938
569,0.00000246,0.001692304,0.344052647,0.28816299,0.998566
570,0.00000226,0.001543061,0.330024632,0.314351701,0.99741
571,0.00000207,0.001407223,0.316284779,0.344936235,0.995908
572,0.0000019,0.001283462,0.30279917,0.374417849,0.994058
573,0.00000175,0.001170649,0.289634714,0.404776546,0.991855
574,0.00000161,0.001067419,0.276729884,0.436314931,0.989297
575,0.00000148,0.000973692,0.263973472,0.472008745,0.986381
576,0.00000136,0.000888751,0.251318978,0.505082682,0.983103
577,0.00000125,0.000811258,0.238927253,0.538589112,0.979463
578,0.00000115,0.000740335,0.226837195,0.572077507,0.975458
579,0.00000105,0.000675838,0.215117276,0.605161423,0.971086
580,0.000000969,0.000616751,0.203751559,0.64114661,0.966347
581,0.000000891,0.000563012,0.192631561,0.672866539,0.96124
582,0.000000819,0.000513928,0.181872986,0.703316169,0.955765
583,0.000000753,0.000468743,0.171516938,0.730481888,0.949923
584,0.000000692,0.000427768,0.161561002,0.756087142,0.943713
585,0.000000637,0.000390468,0.152054228,0.780967736,0.937138
586,0.000000586,0.000356486,0.142987646,0.805157527,0.9302
587,0.000000539,0.00032559,0.134345155,0.828628008,0.922901
588,0.000000497,0.000297548,0.126105272,0.851679353,0.915245
589,0.000000458,0.000272185,0.118291593,0.874341419,0.907235
590,0.000000422,0.000249233,0.110938527,0.896522184,0.898876
591,0.00000039,0.000228318,0.104000141,0.918215085,0.890173
592,0.00000036,0.00020921,0.097421508,0.938612843,0.881131
593,0.000000333,0.00019163,0.091128952,0.953906465,0.871758
594,0.000000307,0.000175482,0.085131979,0.967428743,0.86206
595,0.000000284,0.000160766,0.07941671,0.977028012,0.852046
596,0.000000262,0.000147262,0.074003487,0.984506985,0.841723
597,0.000000242,0.000134902,0.068898403,0.991780424,0.831101
598,0.000000223,0.000123596,0.064093588,0.995628076,0.820189
599,0.000000206,0.000113244,0.059553815,0.998227627,0.808998
600,0.000000191,0.000103821,0.05529277,1,0.797538
601,0.000000176,0.0000952,0.051287543,0.998775961,0.785822
602,0.000000163,0.0000873,0.047549052,0.996342513,0.773861
603,0.00000015,0.00008,0.044073871,0.994171498,0.761667
604,0.000000139,0.0000735,0.040843139,0.989707645,0.749254
605,0.000000129,0.0000675,0.037840676,0.984442455,0.736635
606,0.00000012,0.0000621,0.035083187,0.979562506,0.723824
607,0.000000111,0.0000572,0.032521106,0.973095478,0.710834
608,0.000000103,0.0000526,0.03013281,0.966067531,0.697681
609,9.56E-08,0.0000485,0.027898719,0.95788448,0.684378
610,8.87E-08,0.0000446,0.025800904,0.948108645,0.670941
611,8.23E-08,0.0000411,0.023845629,0.937049767,0.657385
612,7.63E-08,0.0000378,0.02202962,0.924595015,0.643724
613,7.08E-08,0.0000348,0.020328659,0.911659402,0.629974
614,6.56E-08,0.000032,0.018741301,0.897314111,0.61615
615,6.08E-08,0.0000294,0.017262422,0.88202392,0.602266
616,5.64E-08,0.0000271,0.015892641,0.866469788,0.588339
617,5.23E-08,0.0000249,0.014623602,0.849708932,0.574383
618,4.85E-08,0.0000229,0.013456402,0.833169274,0.560412
619,0.000000045,0.0000211,0.012382228,0.816079697,0.546442
620,4.18E-08,0.0000195,0.011396211,0.799097442,0.532485
621,3.88E-08,0.000018,0.010494865,0.78169274,0.518557
622,3.61E-08,0.0000165,0.009664589,0.763874407,0.504672
623,3.35E-08,0.0000153,0.008898024,0.745992431,0.490842
624,3.12E-08,0.0000141,0.008193503,0.727879045,0.47708
625,0.000000029,0.000013,0.007543518,0.709553033,0.4634
626,2.69E-08,0.000012,0.00694276,0.690898748,0.449813
627,0.000000025,0.000011,0.006388898,0.672390809,0.436331
628,2.33E-08,0.0000102,0.005880367,0.653950264,0.422966
629,2.17E-08,0.00000941,0.005410132,0.635461862,0.40973
630,2.02E-08,0.0000087,0.004977867,0.616986566,0.396631
631,1.88E-08,0.00000803,0.00457723,0.59838336,0.383682
632,1.75E-08,0.00000742,0.004206697,0.579839132,0.370891
633,1.63E-08,0.00000685,0.003867582,0.561757352,0.358268
634,1.51E-08,0.00000633,0.003556236,0.543850559,0.345821
635,1.41E-08,0.00000586,0.003270102,0.526117308,0.333559
636,1.31E-08,0.00000542,0.003007067,0.508535461,0.321491
637,1.23E-08,0.00000501,0.002765825,0.491303183,0.309623
638,1.14E-08,0.00000464,0.002545908,0.47428352,0.297963
639,1.07E-08,0.0000043,0.002344015,0.457345003,0.286517
640,0.00000001,0.00000398,0.002159352,0.440737164,0.275292
641,9.29E-09,0.00000369,0.001989455,0.424204768,0.264293
642,8.68E-09,0.00000342,0.001833762,0.408114576,0.253526
643,8.1E-09,0.00000317,0.001690464,0.392379187,0.242996
644,7.57E-09,0.00000294,0.001558341,0.37677571,0.232706
645,7.07E-09,0.00000273,0.001436323,0.361483813,0.222662
646,6.6E-09,0.00000253,0.001323938,0.346583012,0.212867
647,6.17E-09,0.00000235,0.001220643,0.332184759,0.203323
648,5.77E-09,0.00000218,0.001125361,0.318042226,0.194034
649,5.39E-09,0.00000202,0.001037928,0.304358379,0.185002
650,5.05E-09,0.00000188,0.000957467,0.291090829,0.176228
651,4.72E-09,0.00000174,0.000883261,0.278206594,0.167714
652,4.42E-09,0.00000162,0.000814993,0.265697406,0.159461
653,4.14E-09,0.00000151,0.000752442,0.253479853,0.151469
654,3.87E-09,0.0000014,0.000695054,0.241690775,0.143738
655,3.63E-09,0.0000013,0.000642548,0.23039679,0.136267
656,3.4E-09,0.00000121,0.000594112,0.219436445,0.129056
657,3.19E-09,0.00000113,0.000549408,0.208822901,0.122103
658,0.000000003,0.00000105,0.000508216,0.198513716,0.115406
659,2.81E-09,0.00000098,0.000470125,0.18853078,0.108962
660,2.63E-09,0.000000913,0.000434882,0.178930069,0.10277
661,2.47E-09,0.00000085,0.000402221,0.169636305,0.096825
662,2.32E-09,0.000000791,0.000371829,0.160665401,0.091124
663,2.17E-09,0.000000738,0.000343506,0.152060225,0.085663
664,0.000000002,0.000000688,0.000317286,0.143722679,0.080438
665,1.91E-09,0.000000641,0.000293086,0.135699493,0.075444
666,1.79E-09,0.000000597,0.000270772,0.127990694,0.070677
667,1.68E-09,0.000000555,0.000250213,0.120650945,0.066129
668,1.58E-09,0.000000517,0.0002313,0.113696163,0.061797
669,1.48E-09,0.000000482,0.000213988,0.107044041,0.057675
670,1.39E-09,0.00000045,0.00019816,0.100725182,0.053755
671,1.3E-09,0.00000042,0.000183589,0.094747011,0.050033
672,1.23E-09,0.000000392,0.00017009,0.089048596,0.046502
673,1.15E-09,0.000000366,0.000157656,0.083643977,0.043155
674,1.08E-09,0.000000342,0.000146131,0.078522653,0.039986
675,0.000000001,0.00000032,0.000135514,0.07368939,0.036989
676,0.000000001,0.000000299,0.000125784,0.06916871,0.034156
677,9.03E-10,0.00000028,0.000116813,0.064915685,0.031481
678,8.51E-10,0.000000262,0.000108503,0.060894759,0.028958
679,8.01E-10,0.000000245,0.000100804,0.057062986,0.02658
680,7.54E-10,0.000000229,0.0000936,0.053428991,0.02434
681,7.1E-10,0.000000214,0.0000869,0.050003036,0.022233
682,6.68E-10,0.0000002,0.0000807,0.046718347,0.020251
683,6.29E-10,0.000000187,0.0000749,0.043612017,0.01839
684,5.91E-10,0.000000175,0.0000694,0.04069455,0.016642
685,5.56E-10,0.000000164,0.0000644,0.037963799,0.015003
686,5.23E-10,0.000000153,0.0000598,0.035395645,0.013466
687,4.92E-10,0.000000143,0.0000555,0.032964436,0.012026
688,4.62E-10,0.000000133,0.0000514,0.030661209,0.010678
689,4.34E-10,0.000000124,0.0000477,0.028494693,0.009417
690,4.08E-10,0.000000116,0.0000442,0.026473656,0.008237
691,3.83E-10,0.000000109,0.000041,0.024608056,0.007134
692,3.61E-10,0.000000102,0.000038,0.022878311,0.006104
693,3.4E-10,9.51E-08,0.0000353,0.021286371,0.005142
694,3.2E-10,8.91E-08,0.0000328,0.019817202,0.004244
695,3.02E-10,8.35E-08,0.0000305,0.018445191,0.003407
696,2.85E-10,7.83E-08,0.0000283,0.017160506,0.002626
697,2.68E-10,7.34E-08,0.0000263,0.0159561,0.001898
698,2.53E-10,6.87E-08,0.0000245,0.014816162,0.00122
699,2.38E-10,6.43E-08,0.0000228,0.013758628,0.000588
700,2.24E-10,6.03E-08,0.0000212,0.012776676,0
